ID,Mdot,Tmax,Rin,Width
1,-7.00,6500,2.0,0.5
2,-7.25,7000,2.0,1.0
3,-7.50,7500,3.5,0.5
4,-7.75,8000,3.5,1.0
5,-8.00,8500,5.0,0.5
6,-8.25,9000,5.0,1.0
7,-8.50,9500,2.0,1.5
8,-8.75,10000,2.0,2.0
9,-9.00,10500,3.5,1.5
10,-9.25,11000,3.5,2.0
11,-9.50,11500,5.0,1.5
12,-9.75,12000,5.0,2.0
13,-10.00,12500,2.5,0.5
14,,13000,2.5,1.0
15,,13500,2.5,1.5
16,,14000,2.5,2.0
17,,,3.0,0.5
18,,,3.0,1.0
19,,,3.0,1.5
20,,,3.0,2.0
21,,,4.0,0.5
22,,,4.0,1.0
23,,,4.0,1.5
24,,,4.0,2.0
25,,,4.5,0.5
26,,,4.5,1.0
27,,,4.5,1.5
28,,,4.5,2.0
29,,,5.5,0.5
30,,,5.5,1.0
31,,,5.5,1.5
32,,,5.5,2.0
33,,,6.0,0.5
34,,,6.0,1.0
35,,,6.0,1.5
36,,,6.0,2.0
